Diabetes Medication Use; Total, Adults with Diabetes Aged 18+ years, Age-Adjusted Percentage; National,,,,,,,,,,
Data downloaded on 4-November-2023,,,,,,,,,,,,
Year,Pills Only - Percentage,Pills Only - Lower Limit,Pills Only - Upper Limit,Insulin Only - Percentage,Insulin Only - Lower Limit,Insulin Only - Upper Limit,Both Insulin & Pills - Percentage,Both Insulin & Pills - Lower Limit,Both Insulin & Pills - Upper Limit,No Medication - Percentage,No Medication - Lower Limit,No Medication - Upper Limit
2000,45.6,42.3,49,25.6,22.2,29.4,11.2,9.3,13.6,17.6,14.5,21.1
2001,49.9,46.6,53.2,19.7,17,22.7,10.4,8.6,12.5,20,17.5,22.7
2002,49.5,46,53,17.1,14.4,20.2,12.9,10.7,15.6,20.4,17.4,23.8
2003,48.6,44.7,52.4,21.6,18.4,25.3,11.6,9.7,13.8,18.2,15.3,21.5
2004,49.9,46.4,53.3,17.8,15.1,20.9,11.8,9.9,14.1,20.5,17.4,24.1
2005,49.7,46.4,52.9,17.7,14.7,21.2,12.9,10.7,15.5,19.7,17.3,22.5
2006,49.9,46.3,53.5,15.3,12.6,18.5,11.7,9.6,14.3,23.1,19.9,26.7
2007,51.3,47.4,55.2,15,11.8,18.8,11.2,8.9,14,22.5,18,27.8
2008,45.9,41.7,50.2,16,12.8,19.7,13.6,10.9,16.9,24.5,20.5,29
2009,49.5,45.6,53.4,15.7,13,18.9,11.9,9.8,14.4,22.9,19.4,26.8
2010,48.1,44.7,51.6,17.9,15.1,21,13.7,11.3,16.5,20.3,17.3,23.5
2011,52.7,49.5,55.8,17.7,15.3,20.4,12.1,10.3,14.2,17.5,15,20.4
2012,50.5,47.1,53.8,15.6,13,18.7,15.9,13.7,18.4,18,15.3,21
2013,45.8,42.6,49,19.4,16.3,22.9,14.2,12.2,16.5,20.6,17.6,24
2014,50.1,46.6,53.5,17.9,15.3,20.8,14.3,12.1,16.7,17.8,14.9,21
2015,50.6,47,54.3,17.2,14.3,20.6,15.1,12.4,18.3,17,14.3,20.2
2016,51.7,47.4,55.9,14.9,12.4,17.7,14.4,12.1,17.2,19,16.2,22.2
2017,47.6,44.2,51,16.7,13.9,20.1,15.2,12.7,18.1,20.5,17.2,24.2
2018,42.4,38.9,46,18.6,15.4,22.2,15.1,12.8,17.8,23.9,20.7,27.3
2019,48.1,44.4,51.8,18.9,15.9,22.4,16.8,14.1,19.8,16.3,13.5,19.4
2020,46.6,42.6,50.6,16,13.1,19.4,16.7,14.2,19.6,20.6,16.5,25.4
2021,47.8,44.2,51.4,17.9,14.9,21.3,16.5,13.8,19.5,17.9,14.8,21.4
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.,,,,,,,,,,,,
