COUNTYFIPS,NAMELSAD,State,Diagnosed Diabetes Percentage,Access to Exercise Opportunities,Physical Inactivity Percentage,Obesity Percentage,Limited Access To Healthy Foods
13239,Quitman County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
18111,Newton County,Indiana,9.7,15.40999719,27,25.8,5.404391458
19053,Decatur County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
24013,Carroll County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
29155,Pemiscot County,Missouri,12,40.64822912,29,30.7,6.096308042
36005,Bronx County,New York,12.8,99.71460709,30,29.7,0.000549663
36093,Schenectady County,New York,9.3,86.29650934,19.3,31.2,2.981472289
45021,Cherokee County,South Carolina,10.6,63.80506668,31.1,33.8,5.150079903
48495,Winkler County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
37173,Swain County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5137,Stone County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
18035,Delaware County,Indiana,10.5,75.19099863,26.8,30.8,12.83463617
21167,Mercer County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13287,Turner County,Georgia,9.3,9.014557671,18.7,22.6,8.336906517
28097,Montgomery County,Mississippi,10.7,No Data,23.1,28,10.00097649
28127,Simpson County,Mississippi,11.7,19.52514271,24.9,29,6.524822183
19117,Lucas County,Iowa,9.3,61.2160036,18.8,28.3,9.606405832
29043,Christian County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
39067,Harrison County,Ohio,9.6,15.87241553,21.8,34.2,4.588251399
46045,Edmunds County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48089,Colorado County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48291,Liberty County,Texas,8.9,49.10434541,18.9,21.8,4.147798137
48379,Rains County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1061,Geneva County,Alabama,11.1,23.18775663,29.6,36.5,3.863991034
32017,Lincoln County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
18031,Decatur County,Indiana,8.9,61.54623155,23.9,28.4,4.251783483
18033,DeKalb County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20181,Sherman County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
31181,Webster County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
46097,Miner County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
55015,Calumet County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5077,Lee County,Arkansas,10,41.24136608,24.4,28.3,20.28681836
18129,Posey County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
22045,Iberia Parish,Louisiana,10.9,59.5412343,24.5,35.2,5.824836707
29097,Jasper County,Missouri,8.9,63.81724643,23.5,33,9.077046908
36073,Orleans County,New York,11.9,57.54727981,28.8,34,3.825790319
36001,Albany County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48079,Cochran County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4021,Pinal County,Arizona,11.7,59.44434095,26.9,35.5,14.213207
5011,Bradley County,Arkansas,8.8,64.79840111,19.4,20.6,10.20748401
13067,Cobb County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
18149,Starke County,Indiana,9.8,39.58823781,22.5,32.2,1.279719355
19023,Butler County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
19017,Bremer County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
27129,Renville County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
27089,Marshall County,Minnesota,9.1,33.83833033,24,34.9,15.6158339
40149,Washita County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
40025,Cimarron County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
46093,Meade County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48331,Milam County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
49007,Carbon County,Utah,9.3,51.80114937,20.9,31.7,9.0348291
51075,Goochland County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
55055,Jefferson County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
72075,Juana D¨ªaz Municipio,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
22003,Allen Parish,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8021,Conejos County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
18015,Carroll County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
37053,Currituck County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13263,Talbot County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
55071,Manitowoc County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
42123,Warren County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12129,Wakulla County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12081,Manatee County,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20125,Montgomery County,Kansas,10.1,64.16227341,26.9,36.2,10.24549215
