COUNTYFIPS,NAMELSAD,Latitude,Lng,State,Diagnosed Diabetes Percentage,Access to Exercise Opportunities,Physical Inactivity Percentage,Obesity Percentage,Limited Access To Healthy Foods
18111,Newton County,40.9558,-87.3976,Indiana,9.7,15.40999719,27,25.8,5.404391458
29155,Pemiscot County,36.2114,-89.7854,Missouri,12,40.64822912,29,30.7,6.096308042
36005,Bronx County,40.8501,-73.866,New York,12.8,99.71460709,30,29.7,0.000549663
36093,Schenectady County,42.8181,-74.0586,New York,9.3,86.29650934,19.3,31.2,2.981472289
45021,Cherokee County,35.0481,-81.6206,South Carolina,10.6,63.80506668,31.1,33.8,5.150079903
18035,Delaware County,40.2275,-85.3969,Indiana,10.5,75.19099863,26.8,30.8,12.83463617
13287,Turner County,31.7164,-83.6241,Georgia,9.3,9.014557671,18.7,22.6,8.336906517
28097,Montgomery County,33.494,-89.6164,Mississippi,10.7,No Data,23.1,28,10.00097649
28127,Simpson County,31.9132,-89.9195,Mississippi,11.7,19.52514271,24.9,29,6.524822183
19117,Lucas County,41.0294,-93.3277,Iowa,9.3,61.2160036,18.8,28.3,9.606405832
39067,Harrison County,40.2938,-81.0911,Ohio,9.6,15.87241553,21.8,34.2,4.588251399
48291,Liberty County,30.1516,-94.8122,Texas,8.9,49.10434541,18.9,21.8,4.147798137
1061,Geneva County,31.095,-85.8391,Alabama,11.1,23.18775663,29.6,36.5,3.863991034
18031,Decatur County,39.307,-85.5011,Indiana,8.9,61.54623155,23.9,28.4,4.251783483
5077,Lee County,34.7805,-90.7808,Arkansas,10,41.24136608,24.4,28.3,20.28681836
22045,Iberia Parish,29.8965,-91.7301,Louisiana,10.9,59.5412343,24.5,35.2,5.824836707
29097,Jasper County,37.2036,-94.3406,Missouri,8.9,63.81724643,23.5,33,9.077046908
36073,Orleans County,43.2521,-78.2312,New York,11.9,57.54727981,28.8,34,3.825790319
4021,Pinal County,32.9044,-111.3448,Arizona,11.7,59.44434095,26.9,35.5,14.213207
5011,Bradley County,33.4664,-92.1624,Arkansas,8.8,64.79840111,19.4,20.6,10.20748401
18149,Starke County,41.2809,-86.6476,Indiana,9.8,39.58823781,22.5,32.2,1.279719355
27089,Marshall County,48.3581,-96.3685,Minnesota,9.1,33.83833033,24,34.9,15.6158339
49007,Carbon County,39.6481,-110.5887,Utah,9.3,51.80114937,20.9,31.7,9.0348291
20125,Montgomery County,37.1925,-95.7429,Kansas,10.1,64.16227341,26.9,36.2,10.24549215
31127,Nemaha County,40.3877,-95.8498,Nebraska,9,41.39072848,24,31.1,1.258333566
36097,Schuyler County,42.3938,-76.8752,New York,9.7,43.60791583,23.8,29.5,0.355540291
54089,Summers County,37.6559,-80.8586,West Virginia,10.5,47.75615711,26.6,35.1,8.237860619
12027,DeSoto County,27.1863,-81.8094,Florida,11.1,50.43887327,32.1,30.8,7.043897627
13177,Lee County,31.7795,-84.1411,Georgia,9.7,41.23966358,17.4,22.7,6.807693737
20063,Gove County,38.9161,-100.483,Kansas,9.7,40.74211503,18.7,24.4,33.05055485
5143,Washington County,35.9791,-94.2156,Arkansas,9.9,81.22719326,25.6,31.2,5.302934265
20169,Saline County,38.7838,-97.65,Kansas,8.8,72.01560983,27.2,34.9,6.027980397
18003,Allen County,41.0909,-85.0666,Indiana,10.2,75.24857245,22.2,34.3,12.08793369
1023,Choctaw County,32.0198,-88.2632,Alabama,11,23.96276788,26.1,38.3,13.04427545
18075,Jay County,40.438,-85.0057,Indiana,10.1,37.99463605,19.7,28,11.17205103
24023,Garrett County,39.5289,-79.2729,Maryland,10,44.91145297,22.7,31.4,4.164770589
37097,Iredell County,35.8071,-80.8734,North Carolina,9.6,65.66418084,19.2,33,5.755198998
28015,Carroll County,33.4485,-89.9202,Mississippi,10.1,10.61621214,22.9,23.7,20.41903128
31019,Buffalo County,40.8551,-99.075,Nebraska,8.8,78.66903822,22.2,32.8,9.453653722
20177,Shawnee County,39.0415,-95.7565,Kansas,10,84.85224859,21.5,36.4,10.77915
21005,Anderson County,38.0039,-84.991,Kentucky,9.6,65.431119,20.1,27.3,2.332539644
46121,Todd County,43.1934,-100.7184,South Dakota,15.9,49.73990845,23.8,37.9,12.29000647
10001,Kent County,39.086,-75.5686,Delaware,12.4,51.39178116,29.7,38.6,6.497528899
20103,Leavenworth County,39.1993,-95.038,Kansas,11.1,79.70273,22.6,34.6,11.01280624
26099,Macomb County,42.6957,-82.9323,Michigan,10.2,87.43653223,22.8,31.4,5.852577266
31055,Douglas County,41.2953,-96.1543,Nebraska,9.5,96.56224014,21,31.5,2.328839571
37065,Edgecombe County,35.9129,-77.5971,North Carolina,9.6,48.90366389,16.3,20.6,9.558917154
1133,Winston County,34.1492,-87.3737,Alabama,10.2,75.80460709,20.2,26.4,1.694508531
12041,Gilchrist County,29.7258,-82.8004,Florida,10.6,30.2851408,30,33.2,0.073040894
13089,DeKalb County,33.7715,-84.2264,Georgia,11.3,89.33361083,18.8,25.9,8.722473372
21021,Boyle County,37.6244,-84.8668,Kentucky,9.5,65.59510411,17.6,19.6,7.334436613
22127,Winn Parish,31.9442,-92.6369,Louisiana,9.5,78.9786456,21.2,21.8,5.615333592
40041,Delaware County,36.4082,-94.8026,Oklahoma,10.7,41.56964832,28.7,29.2,9.260803178
54071,Pendleton County,38.6807,-79.3509,West Virginia,10.2,87.48538012,24.7,30.3,20.36322589
18063,Hendricks County,39.7695,-86.51,Indiana,9.3,67.82286453,18.1,29.7,6.977471219
36037,Genesee County,43.0009,-78.1937,New York,10.5,55.67502788,28.5,31.3,1.545612167
12053,Hernando County,28.5535,-82.4245,Florida,10,76.2799662,27,31.8,12.33898567
51081,Greensville County,36.6759,-77.5596,Virginia,9.1,10.99403741,17.4,18.5,0.250417682
29127,Marion County,39.8059,-91.6224,Missouri,9,64.61207046,28.7,29.7,6.747716644
40147,Washington County,36.7152,-95.9044,Oklahoma,10.8,45.50768989,24.2,31.7,12.6653824
47139,Polk County,35.1199,-84.5233,Tennessee,8.8,69.8781575,24.4,31.2,1.933240215
13305,Wayne County,31.5515,-81.9168,Georgia,10.1,37.43645968,21.7,28.9,8.361276103
20061,Geary County,39.0024,-96.7525,Kansas,11.7,70.47319714,20.9,36.7,16.14373166
28007,Attala County,33.0863,-89.5815,Mississippi,9.9,30.3465549,25.6,32.2,15.40845106
4011,Greenlee County,33.2152,-109.2402,Arizona,8.8,45.38343013,15.3,25.1,14.04879402
21037,Campbell County,38.9465,-84.3795,Kentucky,10.3,92.59099362,22.5,32.3,8.904412508
36123,Yates County,42.6335,-77.1055,New York,10.6,42.9067382,26.3,30.7,0.179223658
45083,Spartanburg County,34.9309,-81.9908,South Carolina,11.2,72.78786664,28.1,34.7,14.1213262
13261,Sumter County,32.0399,-84.197,Georgia,13.6,52.21060971,21.5,25.9,5.215784377
18093,Lawrence County,38.8412,-86.4835,Indiana,9.3,70.93466857,25.1,28.8,2.928334474
18137,Ripley County,39.1035,-85.2624,Indiana,9,34.76299535,28.9,27.4,0.812497625
21131,Leslie County,37.0941,-83.3811,Kentucky,10.7,100,23.6,37,4.938101078
28145,Union County,34.4905,-89.0039,Mississippi,8.8,50.51595784,26.3,29.2,5.70424809
27127,Redwood County,44.4037,-95.2538,Minnesota,9.9,42.26290554,25.2,29.1,11.66466486
55001,Adams County,43.9696,-89.7704,Wisconsin,10.4,36.24431138,18.5,27.9,3.651122609
1111,Randolph County,33.2938,-85.4591,Alabama,11,36.80006983,22.5,24,13.18332823
