geometry,STATEFP,COUNTYFP,COUNTYNS,COUNTYFIPS,NAME,NAMELSAD,STUSPS,STATE_NAME,LSAD,ALAND,AWATER,Unnamed: 12
"{""type"":""Polygon"",""coordinates"":[[[-87.526648,41.16609],[-87.393796,41.162806],[-87.275882,41.218595],[-87.267298,40.736582],[-87.526136,40.736885],[-87.526014,40.895582],[-87.526463,41.010337],[-87.52652,41.024837],[-87.526648,41.16609]]]}",18,111,450376,18111,Newton,Newton County,IN,Indiana,6,1040539827,4349506,15.40999719
"{""type"":""Polygon"",""coordinates"":[[[-89.96131,36.388803],[-89.752147,36.386396],[-89.728855,36.427504],[-89.611308,36.411273],[-89.545031,36.344271],[-89.600544,36.342985],[-89.611819,36.309088],[-89.554289,36.277751],[-89.602374,36.238106],[-89.678046,36.248284],[-89.69263,36.224959],[-89.627641,36.18546],[-89.623804,36.183128],[-89.592102,36.135637],[-89.64302,36.10362],[-89.680029,36.082494],[-89.692437,36.020507],[-89.733095,36.000608],[-89.901183,35.999365],[-89.959375,35.999014],[-89.96131,36.388803]]]}",29,155,758532,29155,Pemiscot,Pemiscot County,MO,Missouri,6,1275841039,53915406,40.64822912
"{""type"":""Polygon"",""coordinates"":[[[-73.947485,40.857773],[-73.938081,40.874699],[-73.934892,40.88265],[-73.922031,40.914718],[-73.920484,40.918574],[-73.851123,40.910009],[-73.824047,40.889866],[-73.74806,40.871721],[-73.778958,40.811713],[-73.827583,40.803936],[-73.846654,40.801024],[-73.912456,40.796096],[-73.965835,40.824745],[-73.947485,40.857773]]]}",36,5,974101,36005,Bronx,Bronx County,NY,New York,6,109233466,39353304,99.71460709
"{""type"":""Polygon"",""coordinates"":[[[-74.263314,42.796534],[-74.083883,42.897354],[-74.09298,42.955868],[-73.955458,42.897306],[-73.904386,42.911163],[-73.895938,42.851076],[-73.809369,42.778869],[-73.832618,42.772263],[-74.180274,42.729979],[-74.272295,42.71427],[-74.263314,42.796534]]]}",36,93,974144,36093,Schenectady,Schenectady County,NY,New York,6,530089712,12366944,86.29650934
"{""type"":""Polygon"",""coordinates"":[[[-81.87441,35.183521],[-81.768134,35.179708],[-81.494265,35.169882],[-81.367604,35.164092],[-81.408816,35.047077],[-81.487016,35.034853],[-81.492108,34.948956],[-81.457257,34.83928],[-81.481945,34.866495],[-81.714094,34.912865],[-81.755098,34.930323],[-81.806252,35.055505],[-81.87441,35.183521]]]}",45,21,1247987,45021,Cherokee,Cherokee County,SC,South Carolina,6,1017770812,11691708,63.80506668
"{""type"":""Polygon"",""coordinates"":[[[-85.578589,40.379524],[-85.44433,40.37914],[-85.219901,40.379034],[-85.218758,40.306706],[-85.214386,40.076889],[-85.576197,40.077143],[-85.578589,40.379524]]]}",18,35,450347,18035,Delaware,Delaware County,IN,Indiana,6,1015536280,9863733,75.19099863
"{""type"":""Polygon"",""coordinates"":[[[-83.802723,31.803579],[-83.612642,31.804128],[-83.612256,31.854089],[-83.54164,31.853102],[-83.480176,31.847312],[-83.45887,31.793612],[-83.453634,31.757861],[-83.452919,31.708597],[-83.500702,31.59399],[-83.648972,31.596466],[-83.649384,31.567977],[-83.718774,31.622028],[-83.796846,31.622929],[-83.802723,31.803579]]]}",13,287,343238,13287,Turner,Turner County,GA,Georgia,6,739227758,11818093,9.014557671
"{""type"":""Polygon"",""coordinates"":[[[-89.78689,33.676727],[-89.506872,33.677605],[-89.506496,33.459806],[-89.381092,33.460307],[-89.45405,33.4332],[-89.453808,33.285942],[-89.64528,33.285515],[-89.646314,33.402544],[-89.785227,33.416275],[-89.78689,33.676727]]]}",28,97,711757,28097,Montgomery,Montgomery County,MS,Mississippi,6,1054074828,2352156,No Data
"{""type"":""Polygon"",""coordinates"":[[[-90.230331,32.049728],[-89.730066,32.047072],[-89.662086,32.047239],[-89.653025,31.780653],[-89.755103,31.774654],[-89.974586,31.761655],[-90.122565,31.75268],[-90.107491,31.777685],[-90.230331,32.049728]]]}",28,127,695784,28127,Simpson,Simpson County,MS,Mississippi,6,1525930873,3378528,19.52514271
"{""type"":""Polygon"",""coordinates"":[[[-93.557556,41.161271],[-93.327886,41.160659],[-93.099217,41.160867],[-93.097595,40.898451],[-93.55654,40.898295],[-93.557556,41.161271]]]}",19,117,465247,19117,Lucas,Lucas County,IA,Iowa,6,1115458264,9852845,61.2160036
"{""type"":""Polygon"",""coordinates"":[[[-81.338057,40.214253],[-81.334601,40.304316],[-81.275319,40.303434],[-81.269951,40.433486],[-81.237687,40.432461],[-81.212309,40.433457],[-80.941911,40.4247],[-80.865504,40.422929],[-80.882892,40.159495],[-81.089702,40.166998],[-81.195889,40.172138],[-81.225924,40.170075],[-81.339565,40.171999],[-81.338057,40.214253]]]}",39,67,1074046,39067,Harrison,Harrison County,OH,Ohio,6,1042032641,21847163,15.87241553
"{""type"":""Polygon"",""coordinates"":[[[-95.165897,30.344976],[-94.85252,30.482907],[-94.849414,30.493553],[-94.777341,30.489002],[-94.732732,30.490066],[-94.596338,30.112101],[-94.44491,30.113015],[-94.442235,29.889538],[-94.98146,29.884276],[-94.999834,29.991322],[-95.026772,29.996739],[-95.035692,30.005064],[-95.096708,30.167214],[-95.165897,30.344976]]]}",48,291,1383931,48291,Liberty,Liberty County,TX,Texas,6,3000121460,46620495,49.10434541
"{""type"":""Polygon"",""coordinates"":[[[-86.193476,31.192213],[-86.125405,31.182057],[-85.791402,31.196349],[-85.710333,31.195173],[-85.48576,31.199886],[-85.488298,30.997965],[-85.498002,30.997865],[-85.579498,30.997029],[-85.749715,30.995282],[-85.893632,30.993455],[-86.035038,30.99375],[-86.187248,30.994067],[-86.190559,31.01363],[-86.193476,31.192213]]]}",1,61,161556,1061,Geneva,Geneva County,AL,Alabama,6,1487908432,11567409,23.18775663
"{""type"":""Polygon"",""coordinates"":[[[-85.684515,39.350049],[-85.63063,39.350205],[-85.629327,39.45275],[-85.297575,39.453275],[-85.29654,39.268291],[-85.440054,39.195617],[-85.56632,39.132761],[-85.686783,39.130859],[-85.684515,39.350049]]]}",18,31,450345,18031,Decatur,Decatur County,IN,Indiana,6,964946132,1955432,61.54623155
"{""type"":""Polygon"",""coordinates"":[[[-91.100029,34.867127],[-91.09921,34.911635],[-90.408539,34.904021],[-90.407982,34.835266],[-90.463795,34.834923],[-90.473527,34.788835],[-90.505494,34.764568],[-90.546053,34.702076],[-90.550158,34.663445],[-90.574855,34.631654],[-90.597057,34.641339],[-91.052011,34.645717],[-91.049474,34.734184],[-91.102542,34.734864],[-91.100029,34.867127]]]}",5,77,66866,5077,Lee,Lee County,AR,Arkansas,6,1553493435,57858191,41.24136608
"{""type"":""Polygon"",""coordinates"":[[[-92.042894,29.57748],[-91.985194,29.62919],[-91.969648,29.816888],[-91.990396,29.970326],[-91.964645,30.036986],[-91.951159,30.07278],[-91.818243,30.043925],[-91.729927,30.122484],[-91.658886,30.108226],[-91.600217,30.033036],[-91.368835,30.058824],[-91.231842,30.040385],[-91.22423,30.02556],[-91.255229,29.971457],[-91.471953,29.956304],[-91.624347,29.94546],[-91.711283,29.846131],[-91.935286,29.671939],[-91.862557,29.667395],[-91.873266,29.627277],[-91.80373,29.595952],[-91.711081,29.569328],[-91.768263,29.490362],[-91.821579,29.473925],[-91.915321,29.518513],[-92.030186,29.572669],[-92.042894,29.57748]]]}",22,45,558576,22045,Iberia,Iberia Parish,LA,Louisiana,15,1485913496,1182061975,59.5412343
"{""type"":""Polygon"",""coordinates"":[[[-94.618351,37.160211],[-94.617754,37.338418],[-94.617668,37.36417],[-94.082083,37.349291],[-94.083833,37.290851],[-94.052313,37.290078],[-94.059211,37.048127],[-94.618103,37.056796],[-94.618351,37.160211]]]}",29,97,758503,29097,Jasper,Jasper County,MO,Missouri,6,1653723325,7163884,63.81724643
"{""type"":""Polygon"",""coordinates"":[[[-78.465551,43.370895],[-78.329374,43.373149],[-78.145195,43.37551],[-77.99559,43.36531],[-77.995698,43.284963],[-77.99729,43.132981],[-78.465505,43.128619],[-78.465551,43.370895]]]}",36,73,974135,36073,Orleans,Orleans County,NY,New York,6,1013366838,1103741900,57.54727981
"{""type"":""Polygon"",""coordinates"":[[[-112.203574,32.683593],[-112.202087,33.246861],[-112.202912,33.310285],[-112.191608,33.264698],[-112.081946,33.204686],[-111.893085,33.204709],[-111.869945,33.203583],[-111.685911,33.204637],[-111.582631,33.205408],[-111.580634,33.4658],[-111.039976,33.466019],[-110.974706,33.342095],[-110.955497,33.279139],[-110.780689,32.983673],[-110.725583,33.069896],[-110.632529,33.142771],[-110.593459,33.133926],[-110.449021,33.194526],[-110.448487,32.534517],[-110.451522,32.513995],[-110.842071,32.513865],[-110.85872,32.511223],[-111.157493,32.511255],[-111.351577,32.50139],[-111.792536,32.506644],[-112.203624,32.506721],[-112.203574,32.683593]]]}",4,21,25447,4021,Pinal,Pinal County,AZ,Arizona,6,13899612888,20747424,59.44434095
"{""type"":""Polygon"",""coordinates"":[[[-92.378679,33.314836],[-92.313493,33.492946],[-92.330918,33.707745],[-91.97588,33.704417],[-91.976159,33.529686],[-92.015125,33.453509],[-91.990179,33.398292],[-91.977274,33.30245],[-92.116277,33.223018],[-92.137549,33.162904],[-92.224569,33.253267],[-92.359113,33.281961],[-92.350277,33.298842],[-92.353752,33.305142],[-92.378679,33.314836]]]}",5,11,63757,5011,Bradley,Bradley County,AR,Arkansas,6,1681335016,9505606,64.79840111
