States,STUSPS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Louisiana,LA,6.8,7.6,7.2,8.5,8.3,9.1,9,10,10.2,10.7,9.8,11.4,11.5,10.8,10.4,11.8,11.1,12.6,12.9,11.3,12.7,12.4
Alaska,AK,4.4,4.9,4.7,5.8,4.4,5.6,7,6.5,7.3,6.5,6,8.6,7.2,7.3,7.6,7.8,7.7,7.7,8.7,7.2,7.4,8
Maryland,MD,6.5,7,7,7.1,7.3,7.1,7.8,8.1,8.4,9,8.9,8.9,9.4,9.2,9.2,9.4,9.8,9.4,10.8,9.8,9.1,9.8
Wisconsin,WI,5.9,5.4,5,5.8,5.5,6.3,6,6.1,6.9,7.7,6.6,7.6,7.5,7.3,8,7.4,8.6,8.1,7.4,7.4,7.6,7.9
Florida,FL,6.2,7.2,6.9,7.7,7,7.9,7.6,7.7,8.4,9.6,8.6,9,9.9,9.4,9.4,9.3,9.8,8.6,10.5,9.4,9.5,0
Georgia,GA,7.1,7,7.5,8.2,7.9,8.9,9.7,10.7,10.2,9.9,9.8,10.2,9.6,10.4,11,10.7,11.4,10.6,11.7,11.2,10.7,11.3
Tennessee,TN,7,7.6,8.4,9.2,8.2,8.8,10.3,11.5,10,9.8,10.6,10.3,10.9,11.1,11.7,11.4,11.2,11.7,12.2,12.1,12.5,12.2
Minnesota,MN,4.8,4.3,4.9,5.5,5.1,5.7,5.6,5.5,5.7,6.1,6.4,6.9,6.8,6.8,7.5,6.9,7.6,6.9,7.9,7.8,7.8,7.9
Iowa,IA,5.6,5.3,6.2,6.1,5.9,6.3,6.7,6.2,6.4,6.9,6.8,7.3,8.6,8.3,8.4,7.7,8.1,8.3,8.8,9,9,8.6
Missouri,MO,6.4,6.2,7.1,6.6,7,7.5,6.9,7.5,8.7,7.4,8.7,9.4,9.6,8.7,10,10.2,10.2,9.1,10.2,9,9.4,9.9
Michigan,MI,7,7.2,7.9,7.7,7.5,7.9,8.7,8.5,8.6,8.8,9.6,9.2,9.4,9.3,9,9.5,9.8,9.5,10.2,9.5,10.6,9.3
Idaho,ID,4.8,5.4,6.2,6.3,6.2,6.8,6.8,7.8,7,7.8,7.7,9,7.8,7.8,7.1,7.3,8.1,7.9,9.2,9.3,7.9,8.8
California,CA,7.1,6.6,8,7.5,7.5,7.4,8.5,7.8,8.7,9.2,8.6,8.5,9.6,9.9,9.9,9.6,9.7,9.8,9.7,9.4,9.2,10.9
Connecticut,CT,5.2,6,5.6,5.6,5.7,6.1,6,6.8,6.3,6,6.7,8.5,8.2,7.4,8,8.1,8.5,8.4,8.4,8.2,8.2,9.3
Texas,TX,6.5,7.3,7.6,8.4,8.1,8.3,8.4,10.7,10,9.5,10,10.3,10.6,10.9,10.8,11.2,10.9,11.6,12,11.8,12.1,11.1
Virginia,VA,6.3,6,6.4,7.2,7.2,7,7.3,7.9,7.7,7.9,8.3,9.9,9.8,9.2,9,9.6,9.6,9.6,9.5,9.8,9.8,10.2
New York,NY,6.2,6.4,7.1,7.2,7.4,7.9,7.4,7.8,8,8.4,8.4,9.7,9,9.7,9.2,8.9,9.4,9.4,9.8,9.3,9.1,10.1
Illinois,IL,6.2,6.5,6.9,7.4,6,7.9,8.1,8.7,8.2,7.9,8.5,9.4,8.9,9.2,9.4,9.1,9.5,10.1,9,9.9,9.3,9.7
Montana,MT,4.5,5.3,5.3,5.2,5.5,5.2,5.8,6.1,5.9,6.1,6.3,7,6.2,6.7,7.6,6.7,6.9,6.7,8.1,6.4,7.8,7.6
Kentucky,KY,6.3,6.5,6.9,8.3,7.4,8.6,9.5,9.4,9.4,11,9.3,10,9.8,9.7,11.4,12.1,11.8,11.3,12.1,11.7,11.4,12.3
Oregon,OR,5.8,5.4,6.1,6.1,6.4,6.5,6.5,6.5,6.5,7.9,6.6,8.4,9.1,8.3,8,9.6,8.4,8.3,10,7.5,8.4,8.5
District of Columbia,DC,7.4,8.5,8.2,8.8,9,7.6,8.5,8.4,8.3,7.9,8,9.5,9,8.4,9.2,9.3,8.4,8.2,9.2,9.5,8.3,8.3
Ohio,OH,6.1,7,7.4,8.5,7.6,7.3,6.4,8.9,9.3,9.5,9.3,9.1,10.5,9.2,10.3,9.5,9.7,9.9,10.7,10.3,10.9,10.9
Arkansas,AR,5.9,7.3,7.5,7,6.7,7.7,7.7,8.8,8.9,9.5,8.9,10.3,10.3,10.5,11.5,11.2,12.1,10.8,12.4,12.1,11.7,10.8
Washington,WA,5.5,5.7,5.9,6.6,6.4,6.3,7,7,6.8,7.5,7.3,8.5,8.2,8,8.2,7.7,8.6,8.4,9,8.6,7.9,7.9
Wyoming,WY,5,4.6,5.6,5.6,5.8,6.3,6.1,6.6,7,6.5,6.8,7.8,8.4,8,7.8,7.6,7.6,8.1,7.9,6.8,7.5,7.6
Maine,ME,5.8,6.4,6.8,6.8,7,6.8,6.2,7.1,7.4,7.3,7.6,8.3,8.2,8.1,7.8,8.2,8.5,8.7,8.7,8.7,8.3,8.2
New Mexico,NM,6.6,6.2,6.1,5.6,6.4,7,7,7.5,7.6,8.2,8,9.4,9.4,9.8,10.4,10.5,10.4,9.7,11.2,11,11,11.9
Utah,UT,5.7,4.6,5.2,6.4,5.8,6.4,6.7,6.7,6.9,6.9,7.3,7.4,7.9,7.7,7.7,7.5,7.7,7.5,8.7,8.3,8.5,8.2
West Virginia,WV,7,8,9.3,8.9,10,9.6,10.8,9.8,10.8,11.1,10.4,10.6,11.1,11.2,12,12.5,12.7,12.8,13.4,13,13.1,13.1
Kansas,KS,5.7,5.6,6.3,5.8,6.4,6.7,7.1,7,7.7,8.1,7.9,8.9,8.8,8.8,9.5,8.9,8.5,9.5,10.4,9.7,10,10
Nevada,NV,6.8,5.4,6.3,6.4,6.5,7.1,7.6,8,8.6,7.9,8.4,10,8.5,9,8.9,9,10.1,9.4,9.6,9.9,9.7,10.2
Mississippi,MS,7.6,9.2,8.6,10.9,9.5,9.6,10.6,10.9,10.9,10.8,11.7,11.6,11.7,12,11.9,13.6,12.4,12.9,12.9,13.2,13.1,13.7
New Hampshire,NH,4.6,5.4,6.2,5.5,6.4,6.3,7.2,6.7,6.8,6.6,7.3,7.8,7.8,8.1,7.9,6.8,7.7,7.1,8.7,8,7.5,7.3
Alabama,AL,7.3,9.4,8.4,8.4,7.9,9.3,9.5,9.8,10.6,10.9,11.3,10.9,11.1,12.7,11.8,12,13.2,12.5,12.7,12.2,12.9,13.3
South Dakota,SD,5.4,5.8,6,6.6,6.2,6,6.1,6.3,6,6.6,6.2,8.7,7,8.2,8.2,8.4,6.9,9.9,8.2,9.3,7,9.6
Pennsylvania,PA,6.5,6.2,7.4,7.4,7.2,7.5,7.7,7.8,7.9,8.1,9.2,8.4,8.9,8.7,9.6,8.8,9.6,9,9.9,9.2,9.8,9.5
Oklahoma,OK,5.4,7.4,6.6,6.9,7.7,8.6,9.6,9.6,9.5,10.4,9.8,10.5,10.6,10.2,10.9,10.7,10.9,11.7,11.4,11,11.9,11.6
North Carolina,NC,6.5,6.6,7.3,8.1,8.4,8.4,9,8.9,9.1,9.2,9.4,10.2,9.7,10.5,9.9,9.6,10.1,10.3,11,10.5,11,11.1
Massachusetts,MA,5.7,5.4,5.7,5.9,5.5,6.2,6.2,7.1,6.8,7.5,7,7.5,7.7,7.7,8.8,8,8.3,8.4,7.7,7.4,7.7,7.8
North Dakota,ND,5,5,5.9,5.7,5.4,6.2,6.3,5.8,7,6.9,6.9,7.6,7.8,8.1,8,8.1,8.2,8.5,8.7,8.2,9.3,8.8
Delaware,DE,6.3,6.9,6.9,7.4,6.9,8.3,7.7,8.3,7.8,7.5,7.9,8.8,8.7,9.9,9.8,9.9,9.1,9.6,10.1,10.9,10.5,10
Colorado,CO,5.2,5,4.8,5,4.6,5.1,5.5,5.6,6.1,5.9,6.1,6.6,7.2,6.3,7,6.4,6.2,7,6.6,6.6,7.1,6.5
South Carolina,SC,7.2,7.9,8.4,9.1,8.2,10.1,9.2,9.2,9.5,9.7,10,11.2,10.6,11.3,10.7,10.5,11.5,11.8,11.6,11.6,11.9,11.9
Hawaii,HI,5.1,6,5.6,7.2,0,7,7.6,7.1,7.7,7.9,7.6,7.8,7,7.5,8.9,7.8,9.5,9.8,10.3,9.2,9.5,8.1
Vermont,VT,4.4,5.1,5.7,5.6,5.2,5.7,5.5,6.5,5.9,5.5,6.1,6.8,6.4,6.7,7,7.1,7.3,6.8,7.6,7.4,6.7,7.1
Rhode Island,RI,5.8,6.2,5.4,6.5,6.9,6.2,7.2,6.8,7.1,6.4,7.3,7.8,8.9,8.3,8.3,7.9,8.6,7.8,9.4,9.1,9,9.1
Indiana,IN,6,6.4,7.4,7.6,7.6,8.1,7.9,8.1,9.2,8.9,9.3,9.6,10.1,10,9.8,10.5,10.4,10.6,11.2,11.1,10.5,10.8
New Jersey,NJ,5.6,6.9,6,6.9,6.6,7.3,7.2,8.8,8,8.2,8.5,8.1,8.4,8.2,8.7,7.9,8.1,9.8,9.4,0,8.6,8.7
Arizona,AZ,5.9,6.1,6.4,6.1,6.5,7.3,8.3,8.2,7.6,8.2,7.5,9,10.1,9.8,9.1,9.1,9.7,9.4,9.6,9.8,9.7,9.7
Nebraska,NE,4.8,5,5.7,6.1,6.1,7.1,7.1,6.8,7.3,7,7.2,7.8,7.4,8.4,8.4,8,8,9.2,8.8,9.1,8.9,8.6
Puerto Rico,PR,9.3,10.2,10.8,11,10.7,12.5,11.9,12.3,12.3,12.9,12.7,13.3,15.2,13.7,14.2,14.7,13.7,14.9,13.1,14.4,13.3,14.4
